PARAM,AVG_TIME,RUN,FAILED
10,290.76,1,0
10,331.71,2,0
10,324.68,3,0
50,7921.59,1,0
50,6862.33,2,0
50,7036.80,3,0
100,14237.57,1,0
100,13462.22,2,0
100,12490.84,3,0
