PARAM,AVG_TIME,RUN,FAILED
10,355.935,1,0
10,350.055,2,0
10,329.160,3,0
100,337.223,1,0
100,332.689,2,0
100,339.937,3,0
1000,394.935,1,0
1000,393.900,2,0
1000,430.000,3,0
